LOCATION,INDICATOR,DATE,VALUE,CLEAN DATE
USA,QGDP,2013-Q4,0.798248938,01-10-2013
USA,QGDP,2014-Q1,-0.282705187,01-01-2014
USA,QGDP,2014-Q2,1.353681332,01-04-2014
USA,QGDP,2014-Q3,1.220932252,01-07-2014
USA,QGDP,2014-Q4,0.562793738,01-10-2014
USA,QGDP,2015-Q1,0.949154986,01-01-2015
USA,QGDP,2015-Q2,0.676613186,01-04-2015
USA,QGDP,2015-Q3,0.362604385,01-07-2015
USA,QGDP,2015-Q4,0.160362383,01-10-2015
USA,QGDP,2016-Q1,0.566413434,01-01-2016
USA,QGDP,2016-Q2,0.311918336,01-04-2016
USA,QGDP,2016-Q3,0.544396054,01-07-2016
USA,QGDP,2016-Q4,0.629298347,01-10-2016
USA,QGDP,2017-Q1,0.565668983,01-01-2017
USA,QGDP,2017-Q2,0.426944003,01-04-2017
USA,QGDP,2017-Q3,0.728833616,01-07-2017
USA,QGDP,2017-Q4,0.955677327,01-10-2017
USA,QGDP,2018-Q1,0.93167915,01-01-2018
USA,QGDP,2018-Q2,0.668628011,01-04-2018
USA,QGDP,2018-Q3,0.525195607,01-07-2018
USA,QGDP,2018-Q4,0.328321429,01-10-2018
USA,QGDP,2019-Q1,0.72512256,01-01-2019
USA,QGDP,2019-Q2,0.370716167,01-04-2019
USA,QGDP,2019-Q3,0.636914747,01-07-2019
USA,QGDP,2019-Q4,0.58623185,01-10-2019
USA,QGDP,2020-Q1,-1.262654605,01-01-2020
USA,QGDP,2020-Q2,-8.986116769,01-04-2020
USA,QGDP,2020-Q3,7.478741091,01-07-2020
USA,QGDP,2020-Q4,1.064204428,01-10-2020
USA,QGDP,2021-Q1,1.5597284,01-01-2021
CHN,QGDP,2013-Q4,1.6,01-10-2013
CHN,QGDP,2014-Q1,1.8,01-01-2014
CHN,QGDP,2014-Q2,1.8,01-04-2014
CHN,QGDP,2014-Q3,1.8,01-07-2014
CHN,QGDP,2014-Q4,1.7,01-10-2014
CHN,QGDP,2015-Q1,1.9,01-01-2015
CHN,QGDP,2015-Q2,1.8,01-04-2015
CHN,QGDP,2015-Q3,1.7,01-07-2015
CHN,QGDP,2015-Q4,1.6,01-10-2015
CHN,QGDP,2016-Q1,1.6,01-01-2016
CHN,QGDP,2016-Q2,1.8,01-04-2016
CHN,QGDP,2016-Q3,1.7,01-07-2016
CHN,QGDP,2016-Q4,1.6,01-10-2016
CHN,QGDP,2017-Q1,1.8,01-01-2017
CHN,QGDP,2017-Q2,1.8,01-04-2017
CHN,QGDP,2017-Q3,1.6,01-07-2017
CHN,QGDP,2017-Q4,1.5,01-10-2017
CHN,QGDP,2018-Q1,2,01-01-2018
CHN,QGDP,2018-Q2,1.6,01-04-2018
CHN,QGDP,2018-Q3,1.3,01-07-2018
CHN,QGDP,2018-Q4,1.3,01-10-2018
CHN,QGDP,2019-Q1,2,01-01-2019
CHN,QGDP,2019-Q2,1.2,01-04-2019
CHN,QGDP,2019-Q3,1.2,01-07-2019
CHN,QGDP,2019-Q4,1.2,01-10-2019
CHN,QGDP,2020-Q1,-9.7,01-01-2020
CHN,QGDP,2020-Q2,11.6,01-04-2020
CHN,QGDP,2020-Q3,3,01-07-2020
CHN,QGDP,2020-Q4,2.6,01-10-2020
CHN,QGDP,2021-Q1,0.6,01-01-2021
EU27_2020,QGDP,2013-Q4,0.330994,01-10-2013
EU27_2020,QGDP,2014-Q1,0.430943,01-01-2014
EU27_2020,QGDP,2014-Q2,0.299811,01-04-2014
EU27_2020,QGDP,2014-Q3,0.501547,01-07-2014
EU27_2020,QGDP,2014-Q4,0.482811,01-10-2014
EU27_2020,QGDP,2015-Q1,0.73623,01-01-2015
EU27_2020,QGDP,2015-Q2,0.482912,01-04-2015
EU27_2020,QGDP,2015-Q3,0.509779,01-07-2015
EU27_2020,QGDP,2015-Q4,0.520619,01-10-2015
EU27_2020,QGDP,2016-Q1,0.509786,01-01-2016
EU27_2020,QGDP,2016-Q2,0.32856,01-04-2016
EU27_2020,QGDP,2016-Q3,0.43632,01-07-2016
EU27_2020,QGDP,2016-Q4,0.906645,01-10-2016
EU27_2020,QGDP,2017-Q1,0.707133,01-01-2017
EU27_2020,QGDP,2017-Q2,0.80169,01-04-2017
EU27_2020,QGDP,2017-Q3,0.794978,01-07-2017
EU27_2020,QGDP,2017-Q4,0.860326,01-10-2017
EU27_2020,QGDP,2018-Q1,0.224544,01-01-2018
EU27_2020,QGDP,2018-Q2,0.534459,01-04-2018
EU27_2020,QGDP,2018-Q3,0.209574,01-07-2018
EU27_2020,QGDP,2018-Q4,0.535623,01-10-2018
EU27_2020,QGDP,2019-Q1,0.559221,01-01-2019
EU27_2020,QGDP,2019-Q2,0.259157,01-04-2019
EU27_2020,QGDP,2019-Q3,0.284512,01-07-2019
EU27_2020,QGDP,2019-Q4,0.102253,01-10-2019
EU27_2020,QGDP,2020-Q1,-3.317795,01-01-2020
EU27_2020,QGDP,2020-Q2,-11.20577,01-04-2020
EU27_2020,QGDP,2020-Q3,11.681889,01-07-2020
EU27_2020,QGDP,2020-Q4,-0.488386,01-10-2020
EU27_2020,QGDP,2021-Q1,-0.40593,01-01-2021
USA,CPI,2010-Q4,1.270248,01-10-2010
USA,CPI,2011-Q1,2.141127,01-01-2011
USA,CPI,2011-Q2,3.430395,01-04-2011
USA,CPI,2011-Q3,3.756174,01-07-2011
USA,CPI,2011-Q4,3.293777,01-10-2011
USA,CPI,2012-Q1,2.815192,01-01-2012
USA,CPI,2012-Q2,1.889765,01-04-2012
USA,CPI,2012-Q3,1.697784,01-07-2012
USA,CPI,2012-Q4,1.889365,01-10-2012
USA,CPI,2013-Q1,1.681829,01-01-2013
USA,CPI,2013-Q2,1.39285,01-04-2013
USA,CPI,2013-Q3,1.553359,01-07-2013
USA,CPI,2013-Q4,1.233471,01-10-2013
USA,CPI,2014-Q1,1.405456,01-01-2014
