hubspot_id,role,region,monthly_target,monthly_fee,quarterly_fee,above_quarterly_target_fee,start_date,end_date,compensation_value,reports_to_lead
44668141,director,US,0,0.00,0.00,0.00,2022-01-01,NULL,0,NULL
38751762,strategic,EU,"165,000",0.01,0.01,0.02,2022-01-01,NULL,0,56156566
38751756,strategic,US,"100,000",0.01,0.01,0.02,2022-01-01,NULL,0,NULL
35743097,strategic,US,"225,000",0.01,0.01,0.02,2022-01-01,NULL,0,NULL
89217865,strategic,US,"165,000",0.01,0.01,0.02,2022-01-01,NULL,0,NULL
39048447,strategic lead,EU,"225,000",0.01,0.01,0.02,2022-01-01,NULL,0,39048447
48086187,strategic,EU,"120,000",0.01,0.01,0.02,2022-01-01,NULL,0,39048447
35743143,strategic,US,"165,000",0.01,0.01,0.02,2022-01-01,NULL,0,NULL
42993095,strategic,EU,"165,000",0.01,0.01,0.02,2022-01-01,NULL,0,NULL
31642090,strategic,US,"225,000",0.01,0.01,0.02,2022-01-01,NULL,0,NULL
34129810,strategic,EU,"165,000",0.01,0.01,0.02,2022-01-01,NULL,0,NULL
37664898,strategic,EU,"125,000",0.01,0.01,0.02,2022-01-01,NULL,0,NULL
62899373,strategic,US,"165,000",0.01,0.01,0.02,2022-01-01,NULL,0,NULL
35743145,strategic,US,"165,000",0.01,0.01,0.02,2022-01-01,NULL,0,NULL
93786485,strategic,US,"165,000",0.01,0.01,0.02,2022-01-01,NULL,0,NULL
58496480,strategic,EU,"165,000",NULL,0.01,0.02,2022-01-01,NULL,0,NULL
56156566,strategic lead,EU,"165,000",0.01,0.01,0.02,2022-01-01,NULL,0,56156566
71349286,inside,EU,"80,000",0.01,NULL,NULL,2022-01-01,NULL,0,NULL
62897538,inside,US,"100,000",0.01,NULL,NULL,2022-01-01,NULL,0,79105973
46478937,inside,EU,"80,000",0.01,NULL,NULL,2022-01-01,NULL,0,56156566
79105973,inside lead,US,"50,000",0.01,NULL,NULL,2022-01-01,NULL,0,NULL
56156212,inside,EU,"80,000",0.01,NULL,NULL,2022-01-01,NULL,0,56156566
46478931,inside,EU,"80,000",0.01,NULL,NULL,2022-01-01,NULL,0,NULL
117031747,inside,US,"60,000",0.01,NULL,NULL,2022-01-01,2022-02-01,0,79105973
117031747,inside,US,"80,000",0.01,NULL,NULL,2022-02-01,2022-03-01,0,79105973
117031747,inside,US,"100,000",0.01,NULL,NULL,2022-03-01,NULL,0,79105973
125493427,inside,EU,"16,000",0.01,NULL,NULL,2022-01-01,2022-02-01,700,39048447
125493427,inside,EU,"32,000",0.01,NULL,NULL,2022-02-01,2022-03-01,200,39048447
125493427,inside,EU,"48,000",0.01,NULL,NULL,2022-03-01,2022-04-01,100,39048447
125493427,inside,EU,"64,000",0.01,NULL,NULL,2022-04-01,NULL,0,39048447
109909012,inside,US,"60,000",0.01,NULL,NULL,2022-01-01,2022-02-01,0,79105973
109909012,inside,US,"80,000",0.01,NULL,NULL,2022-02-01,2022-03-01,0,79105973
109909012,inside,US,"100,000",0.01,NULL,NULL,2022-03-01,NULL,0,79105973
125494395,strategic,EU,"20,000",0.01,0.01,0.02,2022-01-01,2022-02-01,1275,39048447
125494395,strategic,EU,"40,000",0.01,0.01,0.02,2022-02-01,2022-03-01,1125,39048447
125494395,strategic,EU,"60,000",0.01,0.01,0.02,2022-03-01,2022-04-01,975,39048447
125494395,strategic,EU,"80,000",0.01,0.01,0.02,2022-04-01,2022-05-01,825,39048447
125494395,strategic,EU,"100,000",0.01,0.01,0.02,2022-05-01,2022-06-01,675,39048447
125494395,strategic,EU,"120,000",0.01,0.01,0.02,2022-06-01,2022-07-01,525,39048447
125494395,strategic,EU,"140,000",0.01,0.01,0.02,2022-07-01,2022-08-01,375,39048447
125494395,strategic,EU,"160,000",0.01,0.01,0.02,2022-08-01,2022-09-01,225,39048447
125494395,strategic,EU,"165,000",0.01,0.01,0.02,2022-09-01,2022-10-01,75,39048447
125494395,strategic,EU,"165,000",0.01,0.01,0.02,2022-10-01,NULL,0,39048447
125494360,strategic,EU,"20,000",0.01,0.01,0.02,2022-01-01,2022-02-01,1275,39048447
125494360,strategic,EU,"40,000",0.01,0.01,0.02,2022-02-01,2022-03-01,1125,39048447
125494360,strategic,EU,"60,000",0.01,0.01,0.02,2022-03-01,2022-04-01,975,39048447
125494360,strategic,EU,"80,000",0.01,0.01,0.02,2022-04-01,2022-05-01,825,39048447
125494360,strategic,EU,"100,000",0.01,0.01,0.02,2022-05-01,2022-06-01,675,39048447
125494360,strategic,EU,"120,000",0.01,0.01,0.02,2022-06-01,2022-07-01,525,39048447
125494360,strategic,EU,"140,000",0.01,0.01,0.02,2022-07-01,2022-08-01,375,39048447
125494360,strategic,EU,"160,000",0.01,0.01,0.02,2022-08-01,2022-09-01,225,39048447
125494360,strategic,EU,"165,000",0.01,0.01,0.02,2022-09-01,2022-10-01,75,39048447
125494360,strategic,EU,"165,000",0.01,0.01,0.02,2022-10-01,NULL,0,39048447
102679210,strategic,EU,"80,000",0.01,0.01,0.02,2022-01-01,2022-02-01,0,NULL
102679210,strategic,EU,"100,000",0.01,0.01,0.02,2022-02-01,2022-03-01,0,NULL
102679210,strategic,EU,"120,000",0.01,0.01,0.02,2022-03-01,2022-04-01,0,NULL
102679210,strategic,EU,"140,000",0.01,0.01,0.02,2022-04-01,2022-05-01,0,NULL
102679210,strategic,EU,"160,000",0.01,0.01,0.02,2022-05-01,2022-06-01,0,NULL
102679210,strategic,EU,"165,000",0.01,0.01,0.02,2022-06-01,NULL,0,NULL
136300208,inside,US,"20,000",0.01,NULL,NULL,2022-01-01,2022-02-01,500,79105973
136300208,inside,US,"40,000",0.01,NULL,NULL,2022-02-01,2022-03-01,400,79105973
136300208,inside,US,"60,000",0.01,NULL,NULL,2022-03-01,2022-04-01,300,79105973
136300208,inside,US,"80,000",0.01,NULL,NULL,2022-04-01,2022-05-01,200,79105973
136300208,inside,US,"100,000",0.01,NULL,NULL,2022-05-01,2022-06-01,100,79105973
136300208,inside,US,"100,000",0.01,NULL,NULL,2022-06-01,NULL,0,79105973
136299439,inside,US,"20,000",0.01,NULL,NULL,2022-01-01,2022-02-01,0,79105973
136299439,inside,US,"40,000",0.01,NULL,NULL,2022-02-01,2022-03-01,0,79105973
136299439,inside,US,"60,000",0.01,NULL,NULL,2022-03-01,2022-04-01,0,79105973
136299439,inside,US,"80,000",0.01,NULL,NULL,2022-04-01,2022-05-01,0,79105973
136299439,inside,US,"100,000",0.01,NULL,NULL,2022-05-01,NULL,0,79105973
136300053,strategic,EU,"20,000",0.01,0.01,0.02,2022-01-01,2022-02-01,1275,39048447
136300053,strategic,EU,"40,000",0.01,0.01,0.02,2022-02-01,2022-03-01,1125,39048447
136300053,strategic,EU,"60,000",0.01,0.01,0.02,2022-03-01,2022-04-01,975,39048447
136300053,strategic,EU,"80,000",0.01,0.01,0.02,2022-04-01,2022-05-01,825,39048447
136300053,strategic,EU,"100,000",0.01,0.01,0.02,2022-05-01,2022-06-01,675,39048447
136300053,strategic,EU,"120,000",0.01,0.01,0.02,2022-06-01,2022-07-01,525,39048447
136300053,strategic,EU,"140,000",0.01,0.01,0.02,2022-07-01,2022-08-01,375,39048447
136300053,strategic,EU,"160,000",0.01,0.01,0.02,2022-08-01,2022-09-01,225,39048447
136300053,strategic,EU,"165,000",0.01,0.01,0.02,2022-09-01,2022-10-01,75,39048447
136300053,strategic,EU,"165,000",0.01,0.01,0.02,2022-10-01,NULL,0,39048447
