supplier_id, name, business_classification, technology_name
322,3D BG Print,Evaluating,3DP
191,3D Builders,Evaluating,3DP
286,3D Creative,Strategic,3DP
170,3D Folkes Ltd,Evaluating,3DP
334,3D Ninja,Inactive,3DP
158,3D People Limited,Strategic,3DP
44,3D Prototyping Studio,Challenger,3DP
82,"3D Solutions, Inc.",Inactive,3DP
215,3D-Druck & Design,Challenger,3DP
91,3DPX,Challenger,3DP
184,3DTomorrow,Challenger,3DP
194,3DVerkstan,Inactive,3DP
205,3Dees Industries s.r.o.,Evaluating,3DP
320,3T AMP,Strategic,3DP
276,3iD,Challenger,3DP
310,AME Group,Evaluating,3DP
340,Alphacam,Evaluating,3DP
187,Andrea Marini,Evaluating,3DP
238,Attenborough Direct LTD,Evaluating,3DP
86,Automatic MFG LLC,Bottleneck,3DP
101,Autotiv Manufacturing,Challenger,3DP
60,Baked Industries,Bottleneck,3DP
183,Bare Feet AB,Challenger,3DP
43,"Black Dog Form, LLC",Inactive,3DP
88,Brandon's 3D Printing and Design,Evaluating,3DP
312,Buildparts,Evaluating,3DP
325,CA Models,Evaluating,3DP
59,CL Machine Works,Challenger,3DP
211,CREAT3D Ltd,Inactive,3DP
163,Champion 3D,Inactive,3DP
159,Creabis GmbH,Strategic,3DP
93,DI Labs,Evaluating,3DP
64,DiCAD Consulting Corp,Strategic,3DP
195,EBK-HUNGARY LTD,Inactive,3DP
202,Edumaker Limited,Challenger,3DP
103,Engman-Taylor,Strategic,3DP
129,"Flux Design, LLC",Inactive,3DP
212,Future Solutions V.O.F.,Inactive,3DP
324,GU 3D Print,Inactive,3DP
223,Genprofit Szolgáltató Kft.,Inactive,3DP
203,Gierl DCP GmbH,Challenger,3DP
182,Gramm GmbH,Challenger,3DP
213,HenleyPrint3D,Evaluating,3DP
62,"Hydra Research, LLC",Evaluating,3DP
50,Incept 3D,Strategic,3DP
33,"Insanity Automation, LLC",Inactive,3DP
58,Inspired Craftwork,Evaluating,3DP
32,"JMO Technology, LLC",Evaluating,3DP
85,Jaws Tec LLC,Evaluating,3DP
166,Julien Dodokal,Challenger,3DP
299,K3D B.V.,Inactive,3DP
217,Kinamico s.r.o.,Challenger,3DP
78,Knight Engineering Solutions LLC,Strategic,3DP
162,Korneel's 3D Services,Challenger,3DP
366,Lostboyslab AB,Inactive,3DP
169,MOMKA Design,Evaluating,3DP
74,MWM Technology,Bottleneck,3DP
65,"Makelab, Inc",Inactive,3DP
35,"MakerTree 3D, LLC",Evaluating,3DP
186,Maz3D,Evaluating,3DP
229,Metal Technics3D,Inactive,3DP
167,Midlands 3D Printing Ltd,Strategic,3DP
204,Midwest Prototyping,Strategic,3DP
448,Moonshot3D,Evaluating,3DP
209,Oceanz B.V.,Evaluating,3DP
196,Only3D Ltd,Evaluating,3DP
55,Onset Engineering,Strategic,3DP
68,"Pingring Enterprises, LLC",Bottleneck,3DP
161,PlastiPrint3D Ltd,Evaluating,3DP
198,Printing Portal,Strategic,3DP
453,Prod 3D,Evaluating,3DP
147,Prora,Strategic,3DP
178,RENND Ltd,Challenger,3DP
110,RMEN Additive Manufacturing,Inactive,3DP
315,RPM - Rapid Product Manufacturing GmbH,Evaluating,3DP
89,Re3dTech,Inactive,3DP
69,Rosenberg Industries LLC,Evaluating,3DP
108,Ryan Plummer,Inactive,3DP
102,S&G Tech Group,Strategic,3DP
81,STS Technical Services,Bottleneck,3DP
165,Seaside 3D Ltd,Evaluating,3DP
148,SiMT,Inactive,3DP
339,Solidfill,Evaluating,3DP
94,Starter Design,Evaluating,3DP
172,Steelmans Broaches UK Limited,Evaluating,3DP
38,"Storme Technologies, LLC",Bottleneck,3DP
434,Streamline-3D,Evaluating,3DP
123,Tru-North Design LLC,Inactive,3DP
29,Tyler's 3D Hub LCC,Evaluating,3DP
189,V3D Printing,Challenger,3DP
176,WILLTeQ,Evaluating,3DP
197,WeDo3DPrinting,Evaluating,3DP
77,ZhumeisterLabs LLC,Challenger,3DP
309,Zigg Zagg NV,Challenger,3DP
192,deMINIfabriek,Inactive,3DP
49,iFuzion LLC,Inactive,3DP
174,my3dbase GmbH,Inactive,3DP
116,"ACT Enterprises, LLC",Challenger,CNC
142,ATSE Goni Inc.,Challenger,CNC
375,Apsis Latitude,Challenger,CNC
264,Ashwin Precision Products Pvt Ltd,Challenger,CNC
436,Astra Technologies,Challenger,CNC
457,Ateliers Cerfontaine,Evaluating,CNC
350,Automanufacturas de Queretaro SAPI de CV,Evaluating,CNC
439,BFW Advanced Manufacturing Limited,Challenger,CNC
405,Beskar Steel,Evaluating,CNC
446,Betech Kunststoffen,Evaluating,CNC
400,Bohao Prototypes,Challenger,CNC
245,Boyi Prototypes,Strategic,CNC
413,CBQ Technologies,Challenger,CNC
455,CNC Maquinados Monterrey SA de CV,Evaluating,CNC
442,CNC Prime,Evaluating,CNC
432,Campillo y Huerta Ingenieria de Precision SA de CV (CyH),Challenger,CNC
346,Cenhtal - Centro Herramental De Aguascalientes S.A. DE C.V.,Challenger,CNC
415,Cohera Automations Pvt Ltd,Evaluating,CNC
135,Cornertech Inc,Challenger,CNC
388,DWD Precision,Evaluating,CNC
431,Design in Form,Evaluating,CNC
151,Detroit3D,Challenger,CNC
241,Distinct Productivity Solutions,Challenger,CNC
1,"Dongguan Bole RP&M Co., Ltd",Strategic,CNC
404,Engineered Polymers India Pvt. ltd,Challenger,CNC
440,Excelhub Technologies,Challenger,CNC
257,Excelon Technologies,Challenger,CNC
397,Exonics Precision Pvt Ltd,Challenger,CNC
408,Filipe Ferreira,Challenger,CNC
406,"Five Axis Industries, Inc.",Challenger,CNC
401,G&T,Evaluating,CNC
427,GFS Machining Inc.,Challenger,CNC
258,GPM,Strategic,CNC
336,GRUPO MADIVER SA DE CV,Challenger,CNC
