creator_account_id,country_iso,company_size,parent_company,Parent_Company_ID
0016e00002stdFNAAY,US,Unknown,,
0016e00002f0yVtAAI,US,Unknown,,
0015A00002Pw1NLQAZ,US,Unknown,,
0013100001bxtP0AAI,US,100-500,,
0016e00002sw6rSAAQ,US,Unknown,,
0016e00002jjcFcAAI,US,<10,,
0015A00002PwyRZQAZ,US,<10,,
0015A00002PyBPYQA3,US,Unknown,,
0015A00002V7wt4QAB,US,Unknown,,
0015A00002D7B55QAF,US,Unknown,,
0015A00002PwKAhQAN,US,100-500,,
0016e00002XPBGtAAP,US,<10,,
0018X000034YGL7QAO,SA,Unknown,,
0016e00002jjOwgAAE,SA,Unknown,,
0018X00003MlHbMQAV,ZA,,,
0018X00003JBFvmQAH,US,,CATERPILLAR UK HOLDINGS LIMITED,
0018X00003OFsEBQA1,US,,,
001i000001J6i34AAB,MT,1000-10000,,
0016e00002st3wYAAQ,US,<10,,
0015A00002Pyco1QAB,TR,500-1000,,
001VW000009mJUbYAM,SE,,,
0015A00002Pw2WwQAJ,SE,Unknown,,
0016e00002f1Eh9AAE,SE,Unknown,,0015A00002PxO8G
001VW00000L8ounYAB,RS,,,
0016e00002suJ56AAE,QA,100-500,,
0015A00001uXk4pQAC,PL,10-100,,
0018X00003BTJXZQA5,PH,,,
0018X000032dKySQAU,OM,Unknown,,
0015A00002J5OkMQAV,NO,Unknown,Heimdall Power,
0013100001p3ARsAAM,NO,Unknown,,
001VW00000BUHpvYAH,NO,,,
0015A00002J7HdOQAV,NL,<10,,
0018X00003OF1h4QAD,NL,,,
0015A00002ClyvqQAB,NL,Unknown,,
001i000001O8dypAAB,NL,100-500,Protolabs (Internal Orders AMER),
0018X00003AU1QcQAL,MU,,,
0015A00002Pw0deQAB,MT,Unknown,Hetronic Malta,0016e00002f25bD
0016e00002f3pSsAAI,MT,1000-10000,,
0015A00001yfpa3QAA,MT,1000-10000,,
0015A00002J7ZdLQAV,MT,<10,,
0015A00001yfI6oQAE,MT,<10,,
0018X00003EceQQQAZ,IT,,,001i000001AljZq
0018X00003EFxyNQAT,IT,,,
0016e00002bY7RTAA0,IT,Unknown,,
0016e00002stAtHAAU,IT,Unknown,,
0018X00003HUVmiQAH,IT,,,
0018X00003IAp8zQAD,IT,,,
001VW000009aOjQYAU,IT,,,
0015A00002D67zQQAR,IT,Unknown,,
0018X00003JAE6RQAX,IT,,,
0018X00003PFj0NQAT,IT,,,
0018X00003JoJ4SQAV,IT,,,
0018X00003NXDWrQAP,IT,,,
0018X00003HpXfTQAV,IT,,,
0018X00003OFEenQAH,IT,,,0013100001dAWji
0018X00003IMRCEQA5,IT,,,001i000001MvZbq
001i000001PioyZAAR,IT,Unknown,,
001VW000003wMbCYAU,IT,,,
001VW00000CergGYAR,IT,,,
001VW00000CugorYAB,IT,,,
001VW00000DixxmYAB,IT,,,
001VW00000GMmuWYAT,IT,,,
001VW00000JqMhSYAV,IT,,,
001VW00000JTpVfYAL,IT,,,
0018X00003BQeExQAL,IT,,COL Group,
001VW000004dT6HYAU,IT,,,
001VW00000K73VVYAZ,IT,,,
001VW00000G8pU0YAJ,IS,,Protolabs (Internal Orders EMEA),
0015A00002Cj2wjQAB,IE,Unknown,,
0016e00002XO4qMAAT,GG,<10,,
0015A00002PwwwzQAB,GB,<10,,
0018X00003Ml2XZQAZ,GB,,,
001i000001TvyBaAAJ,GB,500-1000,,
0015A000029GuDyQAK,GB,10-100,,
0018X00003BRFn6QAH,GB,,,
0016e00002swUKYAA2,GB,Unknown,,
0016e00002svKJPAA2,GB,Unknown,,
001VW00000HlUP7YAN,GB,,,
0015A00002J7anXQAR,GB,Unknown,,
0016e00002zQKhPAAW,GB,Unknown,,
001VW00000ArzJ1YAJ,GB,,,
0018X000030yLkJQAU,GB,Unknown,,
0018X0000371tQhQAI,GB,Unknown,,
001i000001PitfLAAR,GB,10-100,,
001VW000008kcsGYAQ,GB,,,
001VW00000BTrH7YAL,GB,,,
0018X00003HUVAzQAP,GB,,,
0016e00002bWZPAAA4,GB,Unknown,,
0018X00003AWKZsQAP,GB,,,
0018X00003N6OWLQA3,GB,,,
0018X00003HV8MoQAL,GB,,,
0018X00003JAEzOQAX,GB,,,
001VW00000Buv6yYAB,GB,,,
0013100001jYaFTAA0,GB,<10,,
001VW000005xgBjYAI,GB,,,
0013100001bZKCzAAO,GB,10-100,,
0013100001XQ8GiAAL,GB,10-100,,0015A000029H0Mf
0015A00002J58TCQAZ,GB,10-100,,
0013100001awvjhAAA,FR,<10,,
0015A000022YfFQQA0,FR,<10,,
0016e00002sv9z7AAA,FR,Unknown,,
001i000001PisykAAB,FR,10-100,Cobham (FR),
0018X00003J8hirQAB,FR,,,
0015A00001t4mQ4QAI,FR,<10,,
0018X00003ODGpQQAX,FR,,,
001VW00000AIcKPYA1,FR,,,
0015A000025k5N2QAI,FR,100-500,,
0015A000027BKkWQAW,FR,<10,,
0018X00003AXW1rQAH,FR,,Fresenius-Vial SAS (FR),
0018X00003JB8QtQAL,FR,,,
0018X00003ODyjBQAT,FR,,,
0018X00003Mm2tAQAR,FR,,,
001i000001Pis1QAAR,FR,100-500,Safran Group,
001i000001J6PoYAAV,FR,100-500,AIR LIQUIDE FRANCE INDUSTRIE,
0018X00003GIFIqQAP,ES,,,
0015A00001uZqo4QAC,ES,Unknown,,
0015A00002D3vN6QAJ,EE,10-100,,
0016e00002XOUAAAA5,DO,Unknown,,
0018X00003KW1iqQAD,DE,,,
001i000001PitBVAAZ,DE,100001+,,
0013100001lax0CAAQ,DE,Unknown,,
0018X00003I8SbOQAV,DE,,,
001i000001J6U8kAAF,DE,<10,,
001i000001PisqKAAR,DE,10-100,,
001i000001PioVsAAJ,DE,Unknown,,
001VW000003wfNdYAI,DE,,,
0018X00003GM6RBQA1,DE,,,
0013100001gXAtXAAW,DE,Unknown,,
0018X00003PYZkSQAX,DE,,,
0016e00002stmfPAAQ,DE,Unknown,,
001i000001TvuF0AAJ,DE,100-500,,
001VW000008vFFTYA2,DE,,,
0015A00002J58DsQAJ,DE,Unknown,BMW UK Manufacturing,
0018X00003HE4CDQA1,DE,,,
001VW00000ArzkPYAR,DE,,,
0015A00002V9YydQAF,CN,Unknown,,
0015A000027ePjzQAE,CH,<10,,
0018X000032fTjJQAU,CH,Unknown,,
0018X000033dEc4QAE,CH,Unknown,,
001i000001Pis87AAB,CH,<10,,
0018X000038CxstQAC,BW,10-100,,
001VW00000Hkq0EYAR,AT,,,
0016e00002aHjV1AAK,AE,Unknown,,
0018X000031fHhtQAE,AE,Unknown,,
0016e00002jh1eHAAQ,AE,10-100,,
001VW00000DdFFpYAN,AE,,,
0013100001bv7zhAAA,DE,10-100,,
0013100001by055AAA,DE,<10,,
0015A00001uYoqhQAC,DE,1000-10000,,
0015A00001y3dE6QAI,AT,100-500,,
0015A000026XWvEQAW,DE,100-500,Freudenberg FST GmbH,
0015A00002J6sTfQAJ,DE,Unknown,,
0016e00002f28bjAAA,DE,1000-10000,,
0016e00002f2L9UAAU,DE,10-100,Freudenberg FST GmbH,
001i000001J6ghRAAR,DE,10-100,,
001i000001J6w1lAAB,DE,100-500,,
001i000001J6WFhAAN,DE,<10,,
001i000001J6X9CAAV,DE,100-500,,
001i000001Mti98AAB,DE,500-1000,,
001i000001Pin7SAAR,HU,1000-10000,Zollner Elektronik AG,
001i000001PisaTAAR,DE,1000-10000,Zollner Elektronik AG,
001i000001PisCwAAJ,DE,10000-50000,,
001i000001PisPMAAZ,DE,1000-10000,,
001i000001PisspAAB,DE,Unknown,,
001VW0000061kLXYAY,PL,,,
0013100001a4yjbAAA,DE,Unknown,,
0013100001bvqzLAAQ,DE,100-500,Webasto AG (DE - Stockdorf),
0013100001bwY7GAAU,DE,500-1000,,
0013100001d7mCRAAY,DE,10-100,Helbling Technik AG,
0013100001d8PnfAAE,DE,Unknown,,
0013100001gvsLVAAY,DE,10-100,,
0013100001gwXrfAAE,DE,10000-50000,,
0013100001gZPgmAAG,DE,Unknown,,
0013100001jYwQQAA0,DE,100-500,,
0013100001kcv4FAAQ,AT,<10,Wilhelm Gronbach GmbH & Co KG - Austria,
0013100001kV3FhAAK,AT,100-500,,
0013100001kV5HQAA0,CH,1000-10000,,
0013100001ldCeZAAU,DE,1000-10000,,
0013100001ldrZCAAY,DE,10000-50000,Knorr-Bremse Systeme f¸r Nutzfahrzeuge GmbH,
0013100001p2GElAAM,DE,Unknown,,
0013100001p37RIAAY,DE,100-500,,
0013100001pvaDFAAY,DE,Unknown,ZF Automotive Germany GmbH (D¸sseldorf),
0013100001qx3zfAAA,DE,10-100,,
0013100001rvCkzAAE,CH,100-500,,
0015A00001tuWG1QAM,DE,10-100,,
0015A00001txU8zQAE,DE,Unknown,,
0015A00001uYXkDQAW,GB,10-100,Continental Automotive Systems,
0015A00001wz2dkQAA,DE,Unknown,,
0015A00001yePdwQAE,GB,100-500,,
0015A00001yyI6tQAE,DE,Unknown,,
0015A0000208AfzQAE,DE,Unknown,,
0015A0000209L67QAE,CH,Unknown,,
0015A000020YftzQAC,DE,10-100,,
0015A000021Q8r4QAC,DE,Unknown,,
0015A000022wkaGQAQ,AT,Unknown,,
0015A000022wsqxQAA,DE,10-100,,
0015A000023PegIQAS,DE,Unknown,STANLEY Engineered Fastening Tucker GmbH,
0015A000026UwDjQAK,DE,1000-10000,,
0015A000027AzWWQA0,CH,10-100,,
0015A000029ntlQQAQ,DE,Unknown,,
0015A00002AtUKqQAN,DE,1000-10000,,
0015A00002Bl0cBQAR,DE,Unknown,,
0015A00002D45TEQAZ,AT,,,
0015A00002D6lW9QAJ,DE,Unknown,Robert Bosch GmbH,
0015A00002D7M4zQAF,DE,10-100,,
0015A00002J5MoVQAV,DE,10-100,,
0015A00002J7Zk3QAF,DE,<10,Levitronix GmbH,
0015A00002PvcrdQAB,DE,<10,Semikron Elektronik GmbH & Co. KG,
0015A00002PvejgQAB,DE,Unknown,,
0015A00002PvhmqQAB,DE,Unknown,HUAWEI TECHNOLOGIES DUESSELDORF GmbH,
0015A00002PvkZWQAZ,AT,100-500,,
0015A00002Pvu0QQAR,DE,Unknown,,
0015A00002PyKfiQAF,AT,Unknown,,
0015A00002V8IFSQA3,DE,Unknown,,
0015A00002V9rYmQAJ,DE,100-500,ZF Automotive Germany GmbH (D¸sseldorf),
0016e00002bUoiUAAS,DE,10-100,,
0016e00002bVejqAAC,DE,100-500,,
0016e00002bVFJkAAO,DE,100-500,,
0016e00002f36L8AAI,DE,Unknown,,
0016e00002jiwfQAAQ,DE,Unknown,,
0016e00002jjJ5LAAU,CH,,Thoratec Switzerland GmbH,
0016e00002XNdpRAAT,RO,1000-10000,,
0016e00002XPPD1AAP,DE,Unknown,,
0016e00002zNfLyAAK,DE,Unknown,,
0016e00002zPwnrAAC,DE,<10,,
0016e000033mXHmAAM,RO,Unknown,,
0018X000031clHhQAI,DE,100-500,,
0018X000033bdTwQAI,DE,Unknown,,
0018X000034Y7AxQAK,DE,10-100,,
0018X000034YjlCQAS,DE,<10,,
0018X0000373Dt9QAE,RS,Unknown,,
0018X000039AJZ9QAO,DE,,,
0018X00003IbDCCQA3,HU,,,
0018X00003JBkvRQAT,DE,,,
0018X00003PZ2r6QAD,DE,,,
001i000001J6akoAAB,DE,100-500,,
001i000001J6axRAAR,AT,1000-10000,,
