order_uuid,recognized_at,explanation
2a9c8e5c-3bd0-462d-ae34-cf56d9d35b22,2020-11-20 14:03:23,"Orders which still followed the old recognition logic, recognized upon completion instead of delivery, agreed upon by Bram Straathof."
19357275-8848-4f97-b791-251e064c2609,2020-11-05 15:56:25,"Orders which still followed the old recognition logic, recognized upon completion instead of delivery, agreed upon by Bram Straathof."
e7c0bf0b-436c-456a-b685-a83b6bed3c9e,2020-11-25 11:01:00,"Orders which still followed the old recognition logic, recognized upon completion instead of delivery, agreed upon by Bram Straathof."
6b5999cb-9132-44a1-a2e5-5b5bcbfca768,2020-11-20 11:01:00,"Orders which still followed the old recognition logic, recognized upon completion instead of delivery, agreed upon by Bram Straathof."
121dfb55-bbbe-4968-aad3-9a9e1d7dd98b,2020-11-16 10:33:28,"Orders which still followed the old recognition logic, recognized upon completion instead of delivery, agreed upon by Bram Straathof."
a6009237-d00f-4427-bd77-c08baca4bc71,2020-11-25 10:01:00,"Orders which still followed the old recognition logic, recognized upon completion instead of delivery, agreed upon by Bram Straathof."
688c9e0f-d531-4752-809f-bde9438d076b,2020-11-10 11:01:00,"Orders which still followed the old recognition logic, recognized upon completion instead of delivery, agreed upon by Bram Straathof."
cbe1dfaa-c914-4f84-b105-6a8ee4013be8,2020-11-11 18:01:00,"Orders which still followed the old recognition logic, recognized upon completion instead of delivery, agreed upon by Bram Straathof."
7ddee440-52fd-4d5c-b698-7ee9fc74835c,2020-11-30 11:01:00,"Orders which still followed the old recognition logic, recognized upon completion instead of delivery, agreed upon by Bram Straathof."
40d0e0ad-ef73-4273-9ec4-dc9396daea00,2020-11-16 17:01:00,"Orders which still followed the old recognition logic, recognized upon completion instead of delivery, agreed upon by Bram Straathof."
d0460127-4a6d-4a4e-91ea-e80674989c1c,2020-11-16 11:01:00,"Orders which still followed the old recognition logic, recognized upon completion instead of delivery, agreed upon by Bram Straathof."
6a8882f7-c972-47e4-bcf8-9e1bc6c19468,2020-11-03 14:43:13,"Orders which still followed the old recognition logic, recognized upon completion instead of delivery, agreed upon by Bram Straathof."
1d070ae9-a99d-4310-9ed8-d7d6650a1e4a,2020-11-04 17:27:20,"Orders which still followed the old recognition logic, recognized upon completion instead of delivery, agreed upon by Bram Straathof."
f3349de5-d3c4-4939-b517-dba785fdf47d,2020-11-20 11:01:00,"Orders which still followed the old recognition logic, recognized upon completion instead of delivery, agreed upon by Bram Straathof."
66d35246-6a9f-4488-9979-6ef9fa66a65d,2022-10-26 23:37:07,"Orders for which direct shipping was organized, with historic logic they should follow upon first shipment delivery but instead with the new logic they follow upon completion, therefore to maintain historic values this ensures that the order is recognized upon first shipment delivery, agreed upon by Bram Straathof"
78870d13-ef33-46ca-8719-cbea76008482,2022-11-11 10:58:00,"Orders for which direct shipping was organized, with historic logic they should follow upon first shipment delivery but instead with the new logic they follow upon completion, therefore to maintain historic values this ensures that the order is recognized upon first shipment delivery, agreed upon by Bram Straathof"
63811ab2-8545-4496-abab-2fdc34d3fd78,2021-09-07 00:00:00,"Change from label creation date to pick up ship date"
ca542314-bb73-4955-a6a4-a93d036d8356,2021-09-07 00:00:00,"Change from label creation date to pick up ship date"
2276dad3-8b05-4382-bf2c-71f55be47bd4,2021-04-29 00:00:00,"Change from label creation date to pick up ship date"
d1b526ce-6d49-4d15-8da8-88fd1ceceff6,2020-11-27 00:00:00,"Change from label creation date to pick up ship date"
6065172,2023-07-31 00:00:00,"Change from label creation date to pick up ship date"
5359479,2023-06-20 00:00:00,"Change from label creation date to pick up ship date"
5359475,2023-06-20 00:00:00,"Change from label creation date to pick up ship date"
92196ae7-f60a-40c2-a79f-5c19ac382242,2023-07-31 00:00:00,"Change from label creation date to pick up ship date"
1992984,2022-01-07 00:00:00,"Change from label creation date to pick up ship date"
344559,2021-04-29 00:00:00,"Change from label creation date to pick up ship date"
1629869,2022-01-10 00:00:00,"Change from label creation date to pick up ship date"
c260f8eb-7ce7-4226-8897-7dc075cb0b70,2023-03-02 00:00:00,"Change from label creation date to pick up ship date"
c9f89308-a1d9-4689-b528-6b21c61be646,2022-03-28 00:00:00,"Change from label creation date to pick up ship date"
6efe78bd-5628-40c2-a8ea-31fc56703ecf,2021-08-27 00:00:00,"Change from label creation date to pick up ship date"
a09a1cf2-d30c-430d-9bc1-a161cf42d6bb,2021-03-29 00:00:00,"Change from label creation date to pick up ship date"
5364082,2023-06-20 00:00:00,"Change from label creation date to pick up ship date"
cdf418d8-eb27-4f66-9f4b-22af6d27cb54,2021-11-29 00:00:00,"Change from label creation date to pick up ship date"
b131d48d-7549-427a-ae48-eba287c3b857,2021-03-29 00:00:00,"Change from label creation date to pick up ship date"
1371881,2021-09-07 00:00:00,"Change from label creation date to pick up ship date"
65d2fdc0-afe1-452e-bc81-3fd5a28b39e1,2022-01-10 00:00:00,"Change from label creation date to pick up ship date"
05c69a27-c728-4e03-9a06-eafd8d160d9b,2023-06-20 00:00:00,"Change from label creation date to pick up ship date"
7c8d6e7d-4ea0-4d4b-8062-eaef5c73f864,2022-01-07 00:00:00,"Change from label creation date to pick up ship date"
9e43fb68-1c51-4cdc-8d99-994c949f46ff,2023-04-18 00:00:00,"Change from label creation date to pick up ship date"
864ae222-290f-4682-9c07-bc59dca8f5d6,2023-04-18 00:00:00,"Change from label creation date to pick up ship date"
16226b09-9cba-4cc3-b086-b1c8d3b53620,2023-04-18 00:00:00,"Change from label creation date to pick up ship date"
c64806cd-e12d-4ac5-acb5-8214af2587d0,2023-04-18 00:00:00,"Change from label creation date to pick up ship date"
d4c93e20-a5df-4277-8e83-4c3f6c20210c,2022-10-11 00:00:00,"Change from label creation date to pick up ship date"
8baf8e5e-7928-4d3a-ae9a-6735a3861d06,2020-11-27 00:00:00,"Change from label creation date to pick up ship date"
3851609,2022-10-11 00:00:00,"Change from label creation date to pick up ship date"
5041676,2023-03-03 00:00:00,"Change from label creation date to pick up ship date"
