date,scope,autotests_qty,autotests_skipped,avg_run_duration
2023/07/10,FE,58,15,7.0
2023/07/10,Supply,62,16,7.75
2023/07/10,MR,0,0,0.0
2023/07/17,FE,59,15,7.75
2023/07/17,Supply,62,16,8.1
2023/07/17,MR,0,0,0.0
2023/07/24,FE,60,15,8.74
2023/07/24,Supply,63,16,9.74
2023/07/24,MR,0,0,0.0
2023/07/31,FE,62,17,10.5
2023/07/31,Supply,65,18,9.5
2023/07/31,MR,0,0,0.0
2023/08/07,FE,62,17,10
2023/08/07,Supply,65,18,9.5
2023/08/07,MR,0,0,0.0
2023/08/14,FE,62,17,9.88
2023/08/14,Supply,65,18,10
2023/08/14,MR,0,0,0.0
2023/08/21,FE,61,17,9.67
2023/08/21,Supply,65,18,9.55
2023/08/21,MR,0,0,0.0
2023/08/28,FE,62,17,10.21
2023/08/28,Supply,65,18,9.86
2023/08/28,MR,0,0,0.0
2023/09/04,FE,63,16,9.0
2023/09/04,Supply,66,17,14.33
2023/09/04,MR,0,0,0.0
2023/09/11,FE,63,16,9.81
2023/09/11,Supply,66,17,9.81
2023/09/11,MR,0,0,0.0
2023/09/18,FE,63,17,11
2023/09/18,Supply,66,17,13.3
2023/09/18,MR,0,0,0.0
2023/09/25,FE,63,17,10.33
2023/09/25,Supply,66,17,19.6
2023/09/25,MR,0,0,0.0
2023/10/02,FE,63,17,9.6
2023/10/02,Supply,75,26,11.5
2023/10/02,MR,0,0,0.0
2023/10/09,FE,67,23,10.8
2023/10/09,Supply,75,26,12.5
2023/10/09,MR,0,0,0.0
2023/10/16,FE,68,23,9.97
2023/10/16,Supply,75,26,10.6
2023/10/16,MR,0,0,0.0
2023/10/23,FE,67,23,11
2023/10/23,Supply,75,26,13.17
2023/10/23,MR,0,0,0.0
2023/10/30,FE,67,23,11.13
2023/10/30,Supply,75,26,13.67
2023/10/30,MR,0,0,0.0
2023/11/06,FE,67,23,11.23
2023/11/06,Supply,75,26,13.46
2023/11/06,MR,0,0,0.0
2023/11/13,FE,67,23,10.5
2023/11/13,Supply,78,27,13.7
2023/11/13,MR,0,0,0.0
2023/11/20,FE,68,23,9.9
2023/11/20,Supply,76,27,13.83
2023/11/20,MR,0,0,0.0
2023/11/27,FE,60,23,7.3
2023/11/27,Supply,68,27,9.48
2023/11/27,MR,0,0,0.0
2023/12/04,FE,60,23,8.53
2023/12/04,Supply,71,27,9.2
2023/12/04,MR,0,0,0.0
2023/12/11,FE,71,24,13.26
2023/12/11,Supply,82,28,16.26
2023/12/11,MR,0,0,0.0
2023/12/18,FE,71,24,10.72
2023/12/18,Supply,82,28,14.0
2023/12/18,MR,0,0,0.0
2023/12/25,FE,0,0,0
2023/12/25,Supply,82,28,17.78
2023/12/25,MR,0,0,0.0
2024/01/01,FE,42,1,9.76
2024/01/01,Supply,54,4,12.35
2024/01/01,MR,0,0,0.0
2024/01/08,FE,44,1,9.48
2024/01/08,Supply,54,4,12.76
2024/01/08,MR,0,0,0.0
2024/01/15,FE,44,1,9.0
2024/01/15,Supply,55,4,12.74
2024/01/15,MR,0,0,0.0
2024/01/22,FE,44,1,9.3
2024/01/22,Supply,55,4,12.75
2024/01/22,MR,0,0,0.0
2024/01/29,FE,44,0,8.9
2024/01/29,Supply,52,2,12.5
2024/01/29,MR,0,0,0.0
2024/02/05,FE,47,1,9.47
2024/02/05,Supply,57,2,13.82
2024/02/05,MR,0,0,0.0
2024/02/12,FE,47,1,15.25
2024/02/12,Supply,57,2,15.75
2024/02/12,MR,0,0,0.0
2024/02/19,FE,46,1,10.33
2024/02/19,Supply,57,2,14.2
2024/02/19,MR,0,0,0.0
2024/02/26,FE,47,2,10.33
2024/02/26,Supply,56,2,14.40
2024/02/26,MR,0,0,0.0
2024/03/04,FE,47,2,10.24
2024/03/04,Supply,56,2,14.22
2024/03/04,MR,0,0,0.0
