date,team,bugs
2023/07/10,Demand,26
2023/07/10,Sourcing,11
2023/07/10,RnD,10
2023/07/10,Core,2
2023/09/04,Demand,33
2023/09/04,Sourcing,22
2023/09/04,RnD,10
2023/09/04,Core,3
2023/09/11,Demand,35
2023/09/11,Sourcing,22
2023/09/11,RnD,11
2023/09/11,Core,3
2023/09/25,Demand,41
2023/09/25,Sourcing,23
2023/09/25,RnD,11
2023/09/25,Core,4
2023/10/02,Demand,40
2023/10/02,Sourcing,23
2023/10/02,RnD,12
2023/10/02,Core,4
2023/10/09,Demand,45
2023/10/09,Sourcing,23
2023/10/09,RnD,13
2023/10/09,Core,4
2023/10/16,Demand,44
2023/10/16,Sourcing,18
2023/10/16,RnD,13
2023/10/16,Core,5
2023/10/30,Demand,45
2023/10/30,Sourcing,19
2023/10/30,RnD,13
2023/10/30,Core,4
2023/11/06,Demand,48
2023/11/06,Sourcing,21
2023/11/06,RnD,13
2023/11/06,Core,4
2023/11/13,Demand,47
2023/11/13,Sourcing,21
2023/11/13,RnD,13
2023/11/13,Core,4
2023/11/20,Demand,48
2023/11/20,Sourcing,20
2023/11/20,RnD,13
2023/11/20,Core,4
2023/11/27,Demand,48
2023/11/27,Sourcing,22
2023/11/27,RnD,15
2023/11/27,Core,4
2023/12/04,Demand,50
2023/12/04,Sourcing,19
2023/12/04,RnD,16
2023/12/04,Core,3
2023/12/11,Demand,50
2023/12/11,Sourcing,19
2023/12/11,RnD,16
2023/12/11,Core,3
2023/12/25,Demand,55
2023/12/25,Sourcing,18
2023/12/25,RnD,16
2023/12/25,Core,3
2024/01/29,Demand,44
2024/01/29,Sourcing,23
2024/01/29,RnD,12
2024/01/29,Core,2
2024/02/12,Demand,44
2024/02/12,Sourcing,22
2024/02/12,RnD,12
2024/02/12,Core,1
2024/02/19,Demand,37
2024/02/19,Sourcing,36
2024/02/19,RnD,12
2024/02/19,Core,1
