date,scope,all_runs,failed_runs
2023/07/10,FE,36,8
2023/07/10,Supply,106,7
2023/07/10,MR,0,0
2023/07/17,FE,70,25
2023/07/17,Supply,174,44
2023/07/17,MR,0,0
2023/07/24,FE,28,4
2023/07/24,Supply,168,53
2023/07/24,MR,0,0
2023/07/31,FE,55,15
2023/07/31,Supply,235,53
2023/07/31,MR,0,0
2023/08/07,FE,49,13
2023/08/07,Supply,105,28
2023/08/07,MR,0,0
2023/08/14,FE,75,29
2023/08/14,Supply,187,65
2023/08/14,MR,0,0
2023/08/21,FE,32,9
2023/08/21,Supply,149,46
2023/08/21,MR,0,0
2023/08/28,FE,40,7
2023/08/28,Supply,63,24
2023/08/28,MR,0,0
2023/09/04,FE,45,9
2023/09/04,Supply,52,23
2023/09/04,MR,0,0
2023/09/11,FE,25,8
2023/09/11,Supply,53,15
2023/09/11,MR,0,0
2023/09/18,FE,77,22
2023/09/18,Supply,84,35
2023/09/18,MR,0,0
2023/09/25,FE,38,8
2023/09/25,Supply,67,22
2023/09/25,MR,0,0
2023/10/02,FE,52,0
2023/10/02,Supply,205,48
2023/10/02,MR,0,0
2023/10/09,FE,72,8
2023/10/09,Supply,134,38
2023/10/09,MR,0,0
2023/10/16,FE,59,3
2023/10/16,Supply,146,36
2023/10/16,MR,0,0
2023/10/23,FE,32,3
2023/10/23,Supply,240,59
2023/10/23,MR,0,0
2023/10/30,FE,35,6
2023/10/30,Supply,127,0
2023/10/30,MR,0,0
2023/11/06,FE,33,12
2023/11/06,Supply,182,24
2023/11/06,MR,0,0
2023/11/13,FE,37,0
2023/11/13,Supply,135,18
2023/11/13,MR,0,0
2023/11/20,FE,37,4
2023/11/20,Supply,161,8
2023/11/20,MR,0,0
2023/11/27,FE,47,15
2023/11/27,Supply,163,2
2023/11/27,MR,0,0
2023/12/04,FE,93,24
2023/12/04,Supply,94,0
2023/12/04,MR,0,0
2023/12/11,FE,56,21
2023/12/11,Supply,113,40
2023/12/11,MR,0,0
2023/12/18,FE,26,3
2023/12/18,Supply,25,0
2023/12/18,MR,0,0
2023/12/25,FE,0,0
2023/12/25,Supply,1,1
2023/12/25,MR,0,0
2024/01/08,FE,43,1
2024/01/08,Supply,63,14
2024/01/08,MR,0,0
2024/01/15,FE,22,0
2024/01/15,Supply,118,5
2024/01/15,MR,0,0
2024/01/22,FE,35,0
2024/01/22,Supply,77,16
2024/01/22,MR,0,0
2024/01/29,FE,19,2
2024/01/29,Supply,85,0
2024/01/29,MR,0,0
2024/02/05,FE,,
2024/02/05,Supply,106,4
2024/02/05,MR,0,0
2024/02/12,FE,21,2
2024/02/12,Supply,59,18
2024/02/12,MR,0,0
2024/02/19,FE,20,2
2024/02/19,Supply,137,13
2024/02/19,MR,0,0
2024/02/26,FE,37,10
2024/02/26,Supply,102,20
2024/02/26,MR,0,0
2024/03/04,FE,52,24
2024/03/04,Supply,91,15
2024/03/04,MR,0,0
2024/03/11,FE,31,28
2024/03/11,Supply,129,24
2024/03/11,MR,0,0
2024/03/18,FE,49,33
2024/03/18,Supply,57,11
2024/03/18,MR,0,0
2024/03/25,FE,23,13
2024/03/25,Supply,104,31
2024/03/25,MR,0,0
2024/03/25,Acceptance,73,2
2024/04/02,FE,30,19
2024/04/02,Supply,100,50
2024/04/02,MR,0,0
2024/04/02,Acceptance,35,2
2024/04/08,FE,26,7
2024/04/08,Supply,134,40
2024/04/08,MR,0,0
2024/04/08,Acceptance,48,16
2024/04/15,FE,17,11
2024/04/15,Supply,163,12
2024/04/15,MR,0,0
2024/04/15,Acceptance,41,6
