hubspot_id,role,region,monthly_target,monthly_lead_target,monthly_fee,quarterly_fee,above_quarterly_target_fee,start_date,end_date,compensation_value,reports_to_lead
144522661,director,EU,4633333,0,0,0,0,2025-01-01,NULL,0,144522661
125493427,inside,EU,92000,0,0.01,0,0,2025-01-01,NULL,0,48086187
319906346,strategic,EU,145000,0,0.01,0.01,0.02,2025-01-01,NULL,0,110419885
426302480,strategic,EU,145000,0,0.01,0.01,0.02,2025-01-01,NULL,0,189817118
456297354,outside,EU,45000,0,0.01,0,0,2025-01-01,NULL,0,110419885
319946843,strategic,EU,145000,0,0.01,0.01,0.02,2025-01-01,NULL,0,189817118
342585922,strategic,EU,105000,0,0.01,0.01,0.02,2025-01-01,2025-02-01,0,48086187
342585922,strategic,EU,125000,0,0.01,0.01,0.02,2025-02-01,2025-03-01,0,48086187
342585922,strategic,EU,145000,0,0.01,0.01,0.02,2025-03-01,2025-04-01,0,48086187
426302479,strategic,EU,145000,0,0.01,0.01,0.02,2025-01-01,2025-02-01,0,189817119
426302479,strategic,EU,165000,0,0.01,0.01,0.02,2025-02-01,2025-03-01,0,189817119
426302479,strategic,EU,190000,0,0.01,0.01,0.02,2025-03-01,NULL,0,189817119
456297353,strategic,EU,145000,0,0.01,0.01,0.02,2025-01-01,NULL,0,189817119
557967210,outside,EU,45000,0,0.01,0,0,2025-01-01,NULL,0,110419885
632005949,inside,EU,115000,0,0.01,0,0,2025-01-01,NULL,0,110419885
319946842,outside,EU,45000,0,0.01,0,0,2025-01-01,NULL,0,48086187
46478931,strategic,EU,190000,0,0.01,0.01,0.02,2025-01-01,NULL,0,189817118
62897828,strategic,EU,190000,0,0.01,0.01,0.02,2025-01-01,NULL,0,189817119
71349286,strategic,EU,190000,0,0.01,0.01,0.02,2025-01-01,NULL,0,189817118
125494360,strategic,EU,190000,0,0.01,0.01,0.02,2025-01-01,NULL,0,48086187
125494395,strategic,EU,190000,0,0.01,0.01,0.02,2025-01-01,NULL,0,48086187
136300053,strategic,EU,190000,0,0.01,0.01,0.02,2025-01-01,NULL,0,48086187
144525717,strategic,EU,145000,0,0.01,0.01,0.02,2025-01-01,NULL,0,48086187
224147305,strategic,EU,190000,0,0.01,0.01,0.02,2025-01-01,NULL,0,110419885
224147308,strategic,EU,190000,0,0.01,0.01,0.02,2025-01-01,NULL,0,189817119
254032799,strategic,EU,145000,0,0.01,0.01,0.02,2025-01-01,NULL,0,110419885
342590586,strategic,EU,145000,0,0.01,0.01,0.02,2025-01-01,NULL,0,189817119
395854630,strategic,EU,145000,0,0.01,0.01,0.02,2025-01-01,NULL,0,189817118
48086187,strategic lead,EU,75000,1132000,0.01,0.01,0.02,2025-01-01,2025-02-01,0,48086187
48086187,strategic lead,EU,75000,1187000,0.01,0.01,0.02,2025-02-01,2025-03-01,0,48086187
48086187,strategic lead,EU,75000,1232000,0.01,0.01,0.02,2025-03-01,NULL,0,48086187
110419885,strategic lead,EU,75000,905000,0.01,0.01,0.02,2025-01-01,NULL,0,110419885
189817118,strategic lead,EU,75000,985000,0.01,0.01,0.02,2025-01-01,NULL,0,189817118
189817119,strategic lead,EU,75000,1025000,0.01,0.01,0.02,2025-01-01,2025-02-01,0,189817119
189817119,strategic lead,EU,75000,1045000,0.01,0.01,0.02,2025-02-01,2025-03-01,0,189817119
189817119,strategic lead,EU,75000,1070000,0.01,0.01,0.02,2025-03-01,NULL,0,189817119
37664898,technical manager,EU,50000,4633333,0.01,0.01,0.02,2025-01-01,NULL,0,189817118
708394374,inside,EU,70000,0,0.01,0,0,2025-01-01,2025-02-01,413,48086187
708394374,inside,EU,90000,0,0.01,0,0,2025-02-01,2025-03-01,263,48086187
708394374,inside,EU,115000,0,0.01,0,0,2025-03-01,NULL,0,48086187
756052650,outside,EU,45000,0,0.01,0,0,2025-01-01,NULL,0,189817119
147479891,strategic,EU,145000,0,0.01,0.01,0.02,2025-01-01,NULL,0,110419885
1182681256,outside,EU,45000,0,0.01,0,0,2025-01-01,NULL,0,189817118
1836592582,outside,EU,45000,0,0.01,0,0,2025-01-01,NULL,0,189817119
487361797,support,EU,0,0,NULL,0,0,2025-01-01,NULL,0,189817118
895397308,outside,EU,45000,0,0.01,0,0,2025-01-01,NULL,0,189817119
1290184230,intern,EU,0,0,0.01,0,0,2025-01-01,NULL,0,37664898
2078379351,intern,EU,0,0,0.01,0,0,2025-01-01,NULL,0,37664898
1118476852,intern,EU,0,0,0.01,0,0,2025-01-01,NULL,0,37664898
1032277313,outside,EU,30000,0,0.01,0,0,2025-01-01,2025-02-01,188,48086187
1032277313,outside,EU,45000,0,0.01,0,0,2025-02-01,NULL,0,48086187
