hubspot_id,role,region,monthly_target,monthly_lead_target,monthly_fee,quarterly_fee,above_quarterly_target_fee,start_date,end_date,compensation_value,reports_to_lead
31178809,,US,,,,,,2018-04-01,2022-01-01,,
31642090,,US,,,,,,2018-04-01,2022-01-01,,
31685532,,US,,,,,,2018-04-01,2021-03-01,,
34129810,,EU,,,,,,2019-05-01,2022-01-01,,
35743097,,US,,,,,,2019-03-18,2022-01-01,,
35743143,,US,,,,,,2019-03-18,2022-01-01,,
35743145,,US,,,,,,2019-03-18,2022-01-01,,
36529733,,EU,,,,,,2019-05-01,2021-04-01,,
37664898,,EU,,,,,,2020-01-02,2022-01-01,,
38751756,,US,,,,,,2019-02-09,2022-01-01,,
38751762,,EU,,,,,,2019-09-01,2022-01-01,,
39048447,,EU,,,,,,2019-09-01,2022-01-01,,
39656942,,EU,,,,,,2019-10-01,2021-08-01,,
41968815,,US,,,,,,2020-06-01,2022-01-01,,
42993095,,EU,,,,,,2019-10-01,2022-01-01,,
46478931,,EU,,,,,,2020-10-15,2022-01-01,,
46478937,,EU,,,,,,2020-10-15,2022-01-01,,
48086187,,EU,,,,,,2020-12-15,2022-01-01,,
49313420,,EU,,,,,,2020-11-01,2022-01-01,,
56156212,,EU,,,,,,2021-01-01,2022-01-01,,
56156566,,EU,,,,,,2021-11-01,2022-01-01,,
57117148,,US,,,,,,2021-01-01,2022-01-01,,
58496480,,EU,,,,,,2021-01-02,2022-01-01,,
58932699,,US,,,,,,2021-02-01,2021-08-01,,
62897538,,US,,,,,,2021-01-03,2022-01-01,,
62897828,,EU,,,,,,2021-01-09,2022-01-01,,
62899373,,US,,,,,,2021-01-03,2022-01-01,,
71349286,,EU,,,,,,2021-10-25,2022-01-01,,
79105973,,US,,,,,,2021-05-17,2022-01-01,,
89217865,,US,,,,,,2021-07-19,2022-01-01,,
93786485,,US,,,,,,2021-08-01,2022-01-01,,
102679210,,EU,,,,,,2021-09-01,2022-01-01,,
109909012,,US,,,,,,2021-04-10,2022-01-01,,
117031747,,US,,,,,,2021-01-11,2022-01-01,,
125493427,,EU,,,,,,2021-06-12,2022-01-01,,
125494360,,EU,,,,,,2021-06-12,2022-01-01,,
125494395,,EU,,,,,,2021-06-12,2022-01-01,,
144522661,director,EU,2284684,731099,0.000,0.000,0.000,2023-01-01,2023-02-01,0,144522661
144522661,director,EU,2475596,792191,0.000,0.000,0.000,2023-02-01,2023-03-01,0,144522661
144522661,director,EU,2742978,877753,0.000,0.000,0.000,2023-03-01,2023-04-01,0,144522661
144522661,director,EU,2686744,859758,0.000,0.000,0.000,2023-04-01,2023-05-01,0,144522661
144522661,director,EU,2855705,913825,0.000,0.000,0.000,2023-05-01,2023-06-01,0,144522661
144522661,director,EU,2971269,950806,0.000,0.000,0.000,2023-06-01,2023-07-01,0,144522661
144522661,director,EU,3017878,965721,0.000,0.000,0.000,2023-07-01,2023-08-01,0,144522661
144522661,director,EU,3006002,961921,0.000,0.000,0.000,2023-08-01,2023-09-01,0,144522661
144522661,director,EU,3227381,,0.000,0.000,0.000,2023-09-01,2023-10-01,0,144522661
144522661,director,EU,3689880,,0.000,0.000,0.000,2023-10-01,2023-11-01,0,144522661
144522661,director,EU,3690629,,0.000,0.000,0.000,2023-11-01,2023-12-01,0,144522661
144522661,director,EU,3585299,,0.000,0.000,0.000,2023-12-01,2024-01-01,0,144522661
144522661,director,EU,"$1,570,000.00",,0.000,0.000,0.000,2022-01-01,2022-02-01,0,144522661
144522661,director,EU,"$1,670,000.00",,0.000,0.000,0.000,2022-02-01,2022-03-01,0,144522661
144522661,director,EU,"$1,820,000.00",,0.000,0.000,0.000,2022-03-01,2022-04-01,0,144522661
144522661,director,EU,"$1,885,000.00",,0.000,0.000,0.000,2022-04-01,2022-05-01,0,144522661
144522661,director,EU,"$2,095,000.00",,0.000,0.000,0.000,2022-05-01,2022-06-01,0,144522661
144522661,director,EU,"$2,290,000.00",,0.000,0.000,0.000,2022-06-01,2022-07-01,0,144522661
144522661,director,EU,"$2,510,000.00",,0.000,0.000,0.000,2022-07-01,2022-08-01,0,144522661
144522661,director,EU,"$2,730,000.00",,0.000,0.000,0.000,2022-08-01,2022-09-01,0,144522661
144522661,director,EU,"$2,920,000.00",,0.000,0.000,0.000,2022-09-01,2022-10-01,0,144522661
144522661,director,EU,"$3,080,000.00",,0.000,0.000,0.000,2022-10-01,2022-11-01,0,144522661
144522661,director,EU,"$3,210,000.00",,0.000,0.000,0.000,2022-11-01,2022-12-01,0,144522661
144522661,director,EU,"$3,270,000.00",,0.000,0.000,0.000,2022-12-01,2023-01-01,0,144522661
46478931,inside,EU,80000,,0.010,NULL,NULL,2022-01-01,2022-10-01,0,37664898
46478937,inside,EU,80000,,0.010,NULL,NULL,2022-01-01,2022-04-01,0,56156566
56156212,inside,EU,80000,,0.010,NULL,NULL,2022-01-01,2023-01-01,0,56156566
71349286,inside,EU,80000,,0.010,NULL,NULL,2022-01-01,2023-01-01,0,37664898
125493427,inside,EU,80000,,0.010,NULL,NULL,2023-01-01,2024-01-01,0,48086187
125493427,inside,EU,16000,,0.010,NULL,NULL,2022-01-01,2022-02-01,0,39048447
125493427,inside,EU,32000,,0.010,NULL,NULL,2022-02-01,2022-03-01,200,39048447
125493427,inside,EU,48000,,0.010,NULL,NULL,2022-03-01,2022-04-01,100,39048447
125493427,inside,EU,64000,,0.010,NULL,NULL,2022-04-01,2023-01-01,0,39048447
144524900,inside,EU,0,,0.000,0.000,0.000,2022-02-01,2022-03-01,0,56156566
144524900,inside,EU,5000,,0.000,0.000,0.000,2022-03-01,2022-04-01,0,56156566
144524900,inside,EU,10000,,0.000,0.000,0.000,2022-04-01,2022-05-01,0,56156566
144524900,inside,EU,15000,,0.000,0.000,0.000,2022-05-01,2022-06-01,0,56156566
144524900,inside,EU,20000,,0.000,0.000,0.000,2022-06-01,2022-08-01,0,56156566
144524900,inside,EU,30000,,0.010,0.000,0.000,2022-08-01,2022-09-01,1099,56156566
144524900,inside,EU,30000,,0.010,0.000,0.000,2022-09-01,2022-10-01,759,56156566
144524900,inside,EU,30000,,0.010,0.000,0.000,2022-10-01,2022-11-01,418,56156566
144524900,inside,EU,30000,,0.010,0.000,0.000,2022-11-01,2022-12-01,78,56156566
144524900,inside,EU,30000,,0.010,0.000,0.000,2022-12-01,2023-01-01,0,56156566
144525717,inside,EU,0,,0.010,NULL,NULL,2022-02-01,2022-03-01,400,39048447
144525717,inside,EU,10000,,0.010,NULL,NULL,2022-03-01,2022-04-01,300,39048447
144525717,inside,EU,20000,,0.010,NULL,NULL,2022-04-01,2022-05-01,200,39048447
144525717,inside,EU,30000,,0.010,NULL,NULL,2022-05-01,2022-06-01,100,39048447
144525717,inside,EU,30000,,0.010,NULL,NULL,2022-06-01,2023-01-01,0,39048447
189817118,inside,EU,0,,0.010,NULL,NULL,2022-06-01,2022-07-01,600,37664898
189817118,inside,EU,20000,,0.010,NULL,NULL,2022-07-01,2022-08-01,450,37664898
189817118,inside,EU,40000,,0.010,NULL,NULL,2022-08-01,2022-09-01,300,37664898
189817118,inside,EU,60000,,0.010,NULL,NULL,2022-09-01,2022-10-01,150,37664898
189817118,inside,EU,80000,,0.010,NULL,NULL,2022-10-01,2022-11-01,0,37664898
189817118,inside,EU,100000,,0.010,NULL,NULL,2022-11-01,2023-01-01,0,37664898
236651920,inside,EU,0,,0.010,NULL,NULL,2022-10-01,2022-11-01,825,56156566
236651920,inside,EU,7500,,0.010,NULL,NULL,2022-11-01,2022-12-01,668,56156566
236651920,inside,EU,15000,,0.010,NULL,NULL,2022-12-01,2023-01-01,510,56156566
254032799,inside,EU,0,,0.010,NULL,NULL,2022-11-01,2022-12-01,825,37664898
254032799,inside,EU,7500,,0.010,NULL,NULL,2022-12-01,2023-01-01,668,37664898
274937426,inside,EU,15000,,0.010,NULL,NULL,2023-01-01,2023-02-01,450,37664898
274937426,inside,EU,0,,0.010,NULL,NULL,2022-12-01,2023-01-01,600,37664898
319906346,inside,EU,0,,0.010,NULL,NULL,2023-07-01,2023-08-01,600,110419885
319906346,inside,EU,20000,,0.010,NULL,NULL,2023-08-01,2023-09-01,450,110419885
319906346,inside,EU,40000,,0.010,NULL,NULL,2023-09-01,2023-10-01,300,110419885
319906346,inside,EU,60000,,0.010,NULL,NULL,2023-10-01,2023-11-01,150,110419885
