supplier_id,name,business_classification,technology_name,service_level_classification
37,3D Prototyping Studio,Evaluating,3DP,4 - pretty good
79,3D3 Design and Solutions LLC,Evaluating,3DP,4 - pretty good
8,3DPX,Strategic,3DP,5 - awesome
81,American Additive,Evaluating,3DP,4 - pretty good
44,Automatic MFG LLC,Challenger,3DP,4 - pretty good
40,Autotiv Manufacturing,Bottleneck,3DP,4 - pretty good
77,"Black Dog Form, LLC",*Offboard,3DP,4 - pretty good
64,Brandon's 3D Printing and Design,Evaluating,3DP,4 - pretty good
9,Gramm GmbH,Strategic,3DP,4 - pretty good
10,Creabis GmbH,Bottleneck,3DP,4 - pretty good
50,CL Machine Works,Evaluating,3DP,5 - awesome
12,Korneel's 3D Services,Strategic,3DP,5 - awesome
13,3T AMP,Strategic,3DP,5 - awesome
14,3D People Limited,Strategic,3DP,5 - awesome
15,3iD,Strategic,3DP,5 - awesome
16,Midlands 3D Printing Ltd,Strategic,3DP,5 - awesome
61,DI Labs,Evaluating,3DP,4 - pretty good
18,Solidfill,Evaluating,3DP,2 - pretty bad
11,DiCAD Consulting Corp,Strategic,3DP,4 - pretty good
30,Engman-Taylor,Challenger,3DP,5 - awesome
21,Kinamico s.r.o.,Strategic,3DP,5 - awesome
22,3D Creative,Strategic,3DP,5 - awesome
56,"Flux Design, LLC",Evaluating,3DP,4 - pretty good
58,GU 3D Print,Evaluating,3DP,4 - pretty good
31,"Hydra Research, LLC",Evaluating,3DP,4 - pretty good
26,Prototype Projects Ltd.,Challenger,3DP,5 - awesome
27,PlastiPrint3D Ltd,Bottleneck,3DP,3 - so/so
28,Edumaker Limited,Bottleneck,3DP,3 - so/so
87,iFuzion LLC,*Offboard,3DP,
17,Incept 3D,Evaluating,3DP,4 - pretty good
48,Inspired Craftwork,Challenger,3DP,4 - pretty good
32,RPM - Rapid Product Manufacturing GmbH,Challenger,3DP,4 - pretty good
33,AMP Production,Challenger,3DP,4 - pretty good
34,EWOQE,Evaluating,3DP,3 - so/so
35,Genprofit Szolgáltató Kft.,Evaluating,3DP,3 - so/so
36,WILLTeQ,Challenger,3DP,4 - pretty good
2,Jaws Tec LLC,Challenger,3DP,4 - pretty good
38,RENND Ltd,Evaluating,3DP,3 - so/so
39,Any-Shape,Evaluating,3DP,2 - pretty bad
25,"JMO Technology, LLC",Evaluating,3DP,4 - pretty good
1,Knight Engineering Solutions LLC,Strategic,3DP,5 - awesome
42,Prora,Evaluating,3DP,2 - pretty bad
23,"Makelab, Inc",Evaluating,3DP,3 - so/so
43,"MakerTree 3D, LLC",Challenger,3DP,4 - pretty good
45,Printing Portal,Strategic,3DP,5 - awesome
3,Midwest Prototyping,Strategic,3DP,4 - pretty good
47,HenleyPrint3D,Evaluating,3DP,3 - so/so
4,MK Machining LLC,Strategic,3DP,5 - awesome
49,Seaside 3D Ltd,Evaluating,3DP,2 - pretty bad
24,Moonshot3D,Evaluating,3DP,4 - pretty good
51,Schem3D - Eryk Jamróz,Evaluating,3DP,3 - so/so
55,MWM Technology,Evaluating,3DP,4 - pretty good
53,3D-Druck & Design,Challenger,3DP,3 - so/so
54,Smart Factory,Challenger,3DP,4 - pretty good
20,Onset Engineering,Evaluating,3DP,5 - awesome
19,"Pingring Enterprises, LLC",Evaluating,3DP,4 - pretty good
57,V3D Printing,Evaluating,3DP,3 - so/so
41,Rosenberg Industries LLC,Challenger,3DP,4 - pretty good
59,3DTomorrow,Challenger,3DP,4 - pretty good
60,Julien Dodokal,Evaluating,3DP,4 - pretty good
85,Ryan Plummer,*Offboard,3DP,
62,3D BG Print,Evaluating,3DP,3 - so/so
63,Prod 3D,Evaluating,3DP,2 - pretty bad
52,S&G Tech Group,Challenger,3DP,4 - pretty good
65,CREAT3D Ltd,Evaluating,3DP,3 - so/so
66,WeDo3DPrinting,Challenger,3DP,3 - so/so
67,MOMKA Design,Challenger,3DP,3 - so/so
68,Future Solutions V.O.F.,,3DP,
69,CA Models,Bottleneck,3DP,4 - pretty good
70,3D Builders,Evaluating,3DP,2 - pretty bad
71,Alphacam,Bottleneck,3DP,4 - pretty good
72,Bare Feet AB,Evaluating,3DP,4 - pretty good
73,Steelmans Broaches UK Limited,Evaluating,3DP,3 - so/so
74,SiMT,Bottleneck,3DP,4 - pretty good
75,AME Group,Evaluating,3DP,2 - pretty bad
76,Andrea Marini,Evaluating,3DP,3 - so/so
46,Starter Design,Challenger,3DP,4 - pretty good
78,Prod 3D Strasbourg,Evaluating,3DP,3 - so/so
6,Streamline-3D,Strategic,3DP,5 - awesome
80,3Dees Industries s.r.o.,,3DP,
29,STS Technical Services,Challenger,3DP,5 - awesome
82,EBK-HUNGARY LTD,,3DP,
83,Oceanz B.V.,,3DP,2 - pretty bad
84,RapidCenter,,3DP,
7,Tyler's 3D Hub LCC,Challenger,3DP,4 - pretty good
86,Zigg Zagg NV,Evaluating,3DP,4 - pretty good
5,ZhumeisterLabs LLC,Strategic,3DP,5 - awesome
1,"Dongguan Bole RP&M Co., Ltd",Strategic,CNC,3 - so/so
2,Xintianjian Technology,Strategic,CNC,4 - pretty good
3,"Xiehe Precision Machining Co.,ltd",Challenger,CNC,4 - pretty good
4,Qualimount Engineering Pvt Ltd,Strategic,CNC,4 - pretty good
5,SunPe,Strategic,CNC,5 - awesome
6,"Heng Wan Precision Co., Ltd",Challenger,CNC,4 - pretty good
7,Longsheng,Strategic,CNC,3 - so/so
8,LTC Shenzen,Strategic,CNC,4 - pretty good
9,Leshine,Bottleneck,CNC,4 - pretty good
10,Boyi Prototypes,Strategic,CNC,5 - awesome
11,Bohao Prototypes,Challenger,CNC,4 - pretty good
12,Zevimetal Lda,Strategic,CNC,4 - pretty good
13,Neepuna Manufacturing solutions,Evaluating,CNC,2 - pretty bad
14,Excelhub Technologies,Strategic,CNC,4 - pretty good
15,WIBE,Evaluating,CNC,3 - so/so
16,SLN Enterprises,Challenger,CNC,3 - so/so
17,SBG Tooling,Challenger,CNC,4 - pretty good
18,Spacenex Aero Pvt Ltd,Strategic,CNC,4 - pretty good
19,Succinnova,Challenger,CNC,4 - pretty good
20,Srikrishna Industrial Works India Pvt Ltd,Botlleneck,CNC,3 - so/so
21,Preci Fit Engineering,Challenger,CNC,3 - so/so
22,Airboat Technologies Private Limited,Challenger,CNC,4 - pretty good
23,P.R.K Ancillaries India Private Limited,Challenger,CNC,4 - pretty good
24,AvioHeliTronics,Challenger,CNC,4 - pretty good
25,Navigator Designs,Challenger,CNC,4 - pretty good
26,Shouzheng Zhiyuan,Evaluating,CNC,2 - pretty bad
27,Hanzatec,Bottleneck,CNC,3 - so/so
28,Halamanee Aerospace Private Limited,Challenger,CNC,4 - pretty good
29,Jai Ganesha Precision Engineering,Evaluating,CNC,4 - pretty good
30,Inovit Solutions,Challenger,CNC,4 - pretty good
31,Team D Engineering Pvt. Ltd.,Evaluating,CNC,3 - so/so
32,LEOKRISHTEK PRIVATE LIMITED,Challenger,CNC,3 - so/so
33,GPM,Evaluating,CNC,3 - so/so
34,Kemal Mfg,Challenger,CNC,4 - pretty good
35,Jinsheng,Challenger,CNC,5 - awesome
36,Toolpath Solutions,Challenger,CNC,3 - so/so
37,M-Tec Industries,Challenger,CNC,4 - pretty good
38,Cohera Automations Pvt Ltd,Offboard,CNC,1 - aweful
39,Engineered Polymers India Pvt. ltd,Strategic,CNC,5 - awesome
40,HN ZZT,Challenger,CNC,3 - so/so
41,VAP Precision,Challenger,CNC,4 - pretty good
42,T3D LABS PVT LTD,Challenger,CNC,3 - so/so
43,Tigma Precision,Challenger,CNC,3 - so/so
44,RP&JM,Evaluating,CNC,3 - so/so
45,Hampson Industries Private Limited,Challenger,CNC,4 - pretty good
46,IHP (INTEGRACION DE HERRAMIENTAS PRODUCTIVAS SA DE CV),Evaluating,CNC,4 - pretty good
47,Saptagiri Micro Engineering Industry,Challenger,CNC,4 - pretty good
48,Vibrant Engineering Solutions,Challenger,CNC,4 - pretty good
49,TMT Mechanics,Offboarded,CNC,
50,JSUN CNC Solutions,Challenger,CNC,4 - pretty good
51,Aerotek,Evaluating,CNC,3 - so/so
52,Manucho Machines Pvt Ltd,Challenger,CNC,4 - pretty good
53,RPM Solutions,Challenger,CNC,5 - awesome
54,Levtech,Strategic,CNC,4 - pretty good
55,Astratek Precision Manufacture,Offboarded,CNC,
56,Sapthagiri Aerospace & Defence Pvt Ltd.,Evaluating,CNC,3 - so/so
57,Aerotive,Challenger,CNC,3 - so/so
58,Poly Fluoro Ltd.,Evaluating,CNC,3 - so/so
59,Relic EDC LLC,Strategic,CNC,
60,Mikrotek,Challenger,CNC,4 - pretty good
61,Beskar Steel,Challenger,CNC,4 - pretty good
62,Kallweit Manufacturing LLC,Evaluating,CNC,
63,Cornertech Inc,Bottleneck,CNC,
64,Maquinados Baca,Evaluating,CNC,3 - so/so
65,Kovdan,Evaluating,CNC,3 - so/so
66,Excelon Technologies,Challenger,CNC,4 - pretty good
67,Simpletech Aerospace,Challenger,CNC,4 - pretty good
68,Billet Craft Designs,Evaluating,CNC,
69,Imaginarium Rapid,Challenger,CNC,3 - so/so
70,Grupo CC Manufacturing S.A. de C.V.,Evaluating,CNC,4 - pretty good
71,Aero Platina Technologies,Evaluating,CNC,3 - so/so
72,Langeslag Metaaltechniek,Challenger,CNC,3 - so/so
73,JF Manufactura,Evaluating,CNC,4 - pretty good
74,Galaktika Ltd.,Evaluating,CNC,3 - so/so
75,OuMeiSi Precision,Challenger,CNC,4 - pretty good
76,Selcasting,Challenger,CNC,2 - pretty bad
77,CNC La Honda,Evaluating,CNC,4 - pretty good
78,WarnerWerks LLC,Evaluating,CNC,
79,Ashwin Precision Products Pvt Ltd,Evaluating,CNC,3 - so/so
80,T&M Torneado Y Mecanizado Sa De Cv,Evaluating,CNC,4 - pretty good
81,MAX AUTO CABLES PRIVATE LIMITED,Evaluating,CNC,
82,Stanform,Evaluating,CNC,3 - so/so
83,HL Precision Inc,Offboarded,CNC,
84,"48 Customs, Inc.",Evaluating,CNC,
85,G&T,Evaluating,CNC,2 - pretty bad
86,Filipe Eusebio Ferreira Unipessoal Lda,Challenger,CNC,4 - pretty good
87,Daniel Machine Shop,Evaluating,CNC,
88,"Liberty CNC, LLC",Evaluating,CNC,
89,Distinct Productivity Solutions,Challenger,CNC,3 - so/so
90,Techno Ltd,Evaluating,CNC,4 - pretty good
91,Leatherneck Precision Machine and Fabrication,Evaluating,CNC,
92,CNC Maquinados Monterrey SA de CV,Evaluating,CNC,4 - pretty good
93,"Jaco Machine, LLC",Evaluating,CNC,
94,Regem,Challenger,CNC,3 - so/so
95,Cenhtal - Centro Herramental De Aguascalientes S.A. DE C.V.,Evaluating,CNC,4 - pretty good
96,Grupo Madiver,Evaluating,CNC,4 - pretty good
97,S&G Tech Group,,CNC,
98,"RJS Machine Works, Inc.",,CNC,
99,AeroTek Precision,,CNC,
100,Monovac,Evaluating,CNC,4 - pretty good
101,Tecnologia Aplicada en Maquinados S.A. de C.V. (TAMSA),Evaluating,CNC,3 - so/so
102,Santro,Evaluating,CNC,3 - so/so
103,Master Machining,,CNC,
104,Stengmac,Challenger,CNC,4 - pretty good
105,Microflux LLC,,CNC,
106,J&J Maquinados,Evaluating,CNC,
107,"Crist Instrument Co., Inc",,CNC,
108,CodeCSR,,CNC,
109,Garuda Aerotech,Evaluating,CNC,4 - pretty good
110,SFS Dynamics,,CNC,
111,Inarde,Challenger,CNC,4 - pretty good
112,Wood and Steel Creative (José María Navarro González),Evaluating,CNC,4 - pretty good
113,Procesos Industriales Rodolv S.A. DE C.V.,Evaluating,CNC,4 - pretty good
114,HD Machining,,CNC,
115,SC Perfect Seal SRL,Evaluating,CNC,4 - pretty good
116,Tecnomaquinados de Precisión,Evaluating,CNC,4 - pretty good
117,Precisium d.o.o.,Evaluating,CNC,4 - pretty good
118,"ACT Enterprises, LLC",,CNC,
119,Tag Manufacturing,,CNC,
120,"North Coast Imagineering and Manufacture, LLC",,CNC,
121,ATSE Goni Inc.,,CNC,
122,Aerohead Inc.,,CNC,
123,V&B INGENIERIA Y MAQUINADOS CNC,Evaluating,CNC,4 - pretty good
124,TMV Machining,,CNC,
125,"Orion Industries, S.A. de C.V.",Evaluating,CNC,4 - pretty good
126,Sirah Polska Sp. z o.o.,Evaluating,CNC,3 - so/so
127,Mike's Machine Shop,,CNC,
128,PHD Machining,,CNC,
129,5 Axis Solutions,,CNC,
130,Sharp Box Precision,,CNC,
131,CNC Programming Solutions,,CNC,
132,Forma Machine LLC,,CNC,
133,Exonics Precision Pvt Ltd,Evaluating,CNC,3 - so/so
134,MILLWORKS Technologies Pvt Ltd.,Evaluating,CNC,4 - pretty good
135,Mako Manufacturing,,CNC,
136,Novelo Technologies,,CNC,
137,Zenoz LTD,Offboarded,CNC,
138,Protolabs,,CNC,
139,CBQ Technologies,Evaluating,CNC,
140,Diseño y Manufactura Integral,Evaluating,CNC,4 - pretty good
141,Tozli Machine,,CNC,
142,Revolution Machine LLC,,CNC,
143,Kocher & Beck USA,,CNC,
144,Brema,Evaluating,CNC,2 - pretty bad
145,Jaws Tec LLC,,CNC,
146,SUMINISTROS METAL MECANICOS,Evaluating,CNC,4 - pretty good
147,Newton Engineering,,CNC,
148,Detroit3D,,CNC,
149,Elvarem OU,Evaluating,CNC,3 - so/so
150,Kerkau Manufacturing,,CNC,
151,Cewar,Evaluating,CNC,3 - so/so
152,D&J Machining,,CNC,
153,Legault Machining LLC,,CNC,
154,Oswald Inc,,CNC,
