account_id,account_name,industry
0015A00002V9K0AQAV,Malloy Aeronautics Ltd,aerospace
0016e00002jiKg8AAE,Uniplanes GmbH,aerospace
0015A00002PyhIsQAJ,"Honeywell Aerospace, Edinburgh",aerospace
9765610000,Fuchszeuglanding,aerospace
0015A00002J6HIOQA3,Archangel Imaging,aerospace
15643210364,Thales Alenia Space GB,aerospace
22670911381,Aviad,aerospace
0018X00003GIaO6QAL,Njord GmbH,aerospace
8741669224,flycoeng.com,aerospace
0015A00002D4f4pQAB,Penny & Giles Aerospace Ltd,aerospace
0015A00002XMKTWQA5,TECH'AIR,aerospace
001VW000007HvU7YAK,Metrix Advanced Technologies ltd,aerospace
0015A00002D6by8QAB,LIFT ME OFF,aerospace
0016e00002f3Hm7AAE,Philips Domestic Appliances B.V.,appliance
9782162321,SharkNinja Operating GB,appliance
4040478215,turnpikes.co.uk,automotive
9001630130,roock-service.com,automotive
7808671842,Fkmgarage,automotive
3284853702,iron-lions.at,automotive
16327785598,hsmc-goch.de,automotive
23254330424,Kox MX,automotive
0015A00002J80ApQAJ,Faurecia Emissions Control Technologies (Pty) Ltd,automotive
0015A00002V9nBBQAZ,Marelli Automotive Systems UK LTD,automotive
0016e00002jgYJtAAM,PUSHME BIKES Limited,automotive
001VW000005qvEBYAY,Berrang SE (Bietigheim),automotive
001VW000003ztqfYAA,Edscha Mechatronic Solutions GmbH,automotive
8965335970,dutracing.nl,automotive
0018X00003P0ynSQAR,Miba Battery Systems BmbH,automotive
10207286306,Westport Fuel Systems IT,automotive
8539948591,Forvia FR,automotive
001VW000003sK02YAE,Borgwarner Izmir OTOMOTIV Sistemleri Anonim Sirketi,automotive
5526049376,TGR Performance,automotive
15328459024,Hummelink-Modifications,automotive
0015A00002D5e4lQAB,Vitesco Technologies Germany GmbH,automotive
8808906846,electromotive.eu,automotive
0018X00003Jr6qYQAR,KTM Forschung und Entwicklung GmbH,automotive
0016e00002f2v7FAAQ,Volta Trucks,automotive
001VW000005Z9ITYA0,Compleo Charging Solutions GmbH & Co. KG,automotive
17700546966,auto-technik-sport.de,automotive
0015A0000209qooQAA,Yazaki Component Technology S.R.L.,automotive
16877350481,autobedrijfvanhoof.nl,automotive
001VW000004BITyYAO,CRS Performance,automotive
0015A00002D4Mc1QAF,Carbotech Ltd,automotive
2939199499,esbjugtransport.no,automotive
001VW00000CI1y2YAD,Claved SAU,automotive
3391493037,ib-hf.de,communications/telecomm
18059768321,regiokop.de,communications/telecomm
0015A00002XMeafQAD,Audiotelligence Ltd,communications/telecomm
10130588513,Daily Internet,communications/telecomm
16249688721,Applied Teleoperation Limited: ATL,communications/telecomm
0016e00002jjjarAAA,Bluetooth Mesh Solutions Ltd;,communications/telecomm
001VW00000Czb2AYAR,umlaut communications GmbH,communications/telecomm
18189620644,tldphotonics.ch,communications/telecomm
0015A00002D3isCQAR,Spirent Communications plc,communications/telecomm
4212849701,Zenical,communications/telecomm
0016e00002svkUnAAI,ATT Systems GmbH,communications/telecomm
001VW000005uv7ZYAQ,Amphenol Tuchel Industrial GmbH,communications/telecomm
9631583341,shi-com.jp,communications/telecomm
0018X00003CStxDQAT,Waybler AB,computer/electronics
17697748306,Joltsynsor,computer/electronics
001VW00000GKsO7YAL,Captive Devices,computer/electronics
0013100001qxFINAA2,indirio.com,computer/electronics
001VW00000Fc21oYAB,Occam Technologies Unipessoal,computer/electronics
11150448954,amtech.ltd.uk,computer/electronics
2439323058,Consens,computer/electronics
15714686905,ispolson.com,computer/electronics
001VW000009MDo7YAG,FLUKE Deutschland GmbH,computer/electronics
0015A000020ZFECQA4,Hyliontec GmbH,computer/electronics
18059689061,sirona.tech,computer/electronics
835631144,sun-systems.ch,computer/electronics
0018X00003P0ZbcQAF,Movu Robotics,computer/electronics
4349397165,Morphotonics,computer/electronics
0015A00002D4PssQAF,ZYPHO,computer/electronics
916827934,CUSTOM CAMERAS LIMITED,computer/electronics
6144562296,engima.eu,computer/electronics
9873461286,WD-DP,computer/electronics
8503935266,VoxelSensors,computer/electronics
2156326113,Bulgin,computer/electronics
001VW000005YqfkYAC,Apple Operations International Ltd,computer/electronics
7964146314,bw-electronics.de,computer/electronics
0016e00002stIPAAA2,Philips Electronics Nederland BV,computer/electronics
20577288243,North Devon Electronics Ltd,computer/electronics
15568009078,wikitech.be,computer/electronics
17170188804,Resideo CZ,computer/electronics
0018X00003QCsO7QAL,TEVAL Elektroonika OÜ,computer/electronics
0015A00002V9YydQAF,"LightPath Optical Instrumentation (Zhenjiang) Co., Ltd.",computer/electronics
0018X00003HnwcbQAB,Advantest Corporation (Singapore) Pte Ltd,computer/electronics
001VW000005gEGeYAM,Sentec AG,computer/electronics
0015A0000226pa5QAA,OEPS - ELECTRONICA E PRODUÇÃO UNIPESSOAL LDA,computer/electronics
0015A00002V7rxnQAB,PicoTronik,computer/electronics
0015A00002J617HQAR,Sportlight Technology Ltd,computer/electronics
7411410524,icesystems.com.au,computer/electronics
20170248314,comptechsolutions.co.uk,computer/electronics
0018X00003GnnNEQAZ,Hindley Circuits Limited,computer/electronics
5344675779,keymacs.com,computer/electronics
001VW00000ES2q2YAD,BARCODIS,computer/electronics
001VW00000AvLefYAF,Gridstore Robotics GmbH,computer/electronics
0018X00003ILNtnQAH,Sensirion Hungary Kft.,computer/electronics
001VW000004yQGjYAM,GMC-I PROSyS Limited,computer/electronics
1246686512,exos.se,computer/electronics
001VW00000BPgM6YAL,Tecnologia Electronica y Desarrollo Industrial,computer/electronics
11434649139,rapid-solution.de,computer/electronics
7531128938,Masterpiece Technologies B.V. NL,computer/electronics
2530901137,Obelie,consumer products
4561095664,Aliénor France,consumer products
6645521251,da store,consumer products
5221048248,Ravenbelt,consumer products
19694818997,wonder.gmbh,consumer products
2355899711,Samantree,consumer products
18094567055,Mberg,consumer products
15830827192,bossit.online,consumer products
0015A00002D5voeQAB,BeoBia,consumer products
5292340255,saita.fr,consumer products
5600150067,demonsant.ch,consumer products
20760063889,trelle.eu,consumer products
21154584615,Mantaraycraft,consumer products
7715337328,Glls,consumer products
0018X00003EeV0NQAV,Shimmerdisc International Ltd,consumer products
16255653557,Wira,consumer products
939197112,peartree.london,consumer products
16252994647,soily.de,consumer products
2565980271,Tiliter AU,consumer products
0015A00002D5e39QAB,Zelp Ltd,consumer products
001VW0000044HETYA2,JOMOO KITCHEN & BATH DEUTSCHLAND GMBH,consumer products
6010582591,realprogear,consumer products
8703481253,PiRO bbq,consumer products
0018X000039fYo4QAE,NowBody GmbH & Co. KG,consumer products
4106967718,adrienlucca.net,design firm
17370296224,joma-projecten.nl,design firm
0016e00002aH8pSAAS,Gaël Matten,design firm
0016e00002bUlMWAA0,Phase Two Design,design firm
4918985388,durrancedevelopments.co.uk,design firm
668232890,paukatti.fi,design firm
8880996771,jst-cad.de,design firm
2575525193,Nagami,design firm
9344080568,christian-derrez.com,design firm
0018X00003PE9cXQAT,Beschriftungen und Werbeprodukte AG,design firm
670573291,Better Future Factory,design firm
0018X000038BhkKQAS,Flying Pigs Designs LLC,design firm
0016e00002f2QbeAAE,Neatt Product Design Ltd,design firm
7913300102,hdsquare.be,design firm
2524934482,3d-project.be,design firm
0015A00002V89zsQAB,OneProjects Design Innovation Ltd.,design firm
7195496342,vinaku.com,design firm
9381636649,stagemotion.de,design firm
18178787354,Koppen.be Urban design,design firm
001VW000006rrVlYAI,Pentagono GV Srl,design firm
11320700276,Stratum9,design firm
2373325627,willissfx.com,design firm
8725431340,"plastic, rubber, die-casting moldersgreen.be",design firm
0015A00002D6Oi3QAF,3DBM,design firm
5144023399,creativeawardslondon.co.uk,design firm
22123907511,greenboy3d.com,design firm
3323664969,talos-development.com,design firm
001VW00000GIogHYAT,Configured Studio,design firm
22914889534,Trainor Jim,education
001i000001J6kQRAAZ,Université de Caen Normandie,education
11983680268,caterra.org,education
4614919313,drdevroye.com,education
0015A00002PwBbTQAV,Technological university of the Shannon,education
8880090380,cs-magfed-innovations.de,firearms
0018X00003HmrxIQAR,Bäck & Söhne GmbH,food
15820907593,Château de Valeyres,food
20741812769,moldedcandy.com,food
0016e00002zNfXRAA0,CMA,food
0018X00003ODqCqQAL,F.B EXPORT Sp. Z o.o. Sp. K,food
17636290460,Tibaldisrl,food
10157592740,Golden Italia,furniture
6602693153,oliverway.co.uk,furniture
19913592705,VINZIA FRATELLI S.P.A.,furniture
0016e00002svKJPAA2,CELLI UK,furniture
8865306456,Aluxe Verandadaken,furniture
0018X000033ckZiQAI,ERGONOMIC SOLUTIONS (WESTERN EUROPE) LTD,furniture
001VW000009CWiEYAW,LC Seating Limited,furniture
3970241081,whartoncourt.co.uk,furniture
16799514215,fiberware.de,furniture
4146265782,Saga Robotics NO,industrial & commercial machinery
19429527426,tuthilltemperley.co.uk,industrial & commercial machinery
0016e00002stc9DAAQ,SWWS Ltd.,industrial & commercial machinery
001VW00000E1OeXYAV,42K,industrial & commercial machinery
0018X0000373Dt9QAE,Teso d.o.o.,industrial & commercial machinery
0018X00003PEhYbQAL,T ET M - Moment SAS,industrial & commercial machinery
0018X00003KVqUHQA1,ExperBuy Deutschland GmbH,industrial & commercial machinery
21412565301,Armadillo SIA,industrial & commercial machinery
9451665290,Techkab W. Plakolm,industrial & commercial machinery
3139781304,ONgineer,industrial & commercial machinery
0015A00002D5oaZQAR,SARL LEMMER,industrial & commercial machinery
0018X00003GIgHsQAL,Uwe Kloska GmbH,industrial & commercial machinery
001VW000009x0tMYAQ,Econ srl,industrial & commercial machinery
0016e00002jhSSdAAM,Movi,industrial & commercial machinery
001VW000006ZrcKYAS,Liebherr-Electronics and Drives GmbH,industrial & commercial machinery
001VW00000E1vqhYAB,Rubix U.K. Ltd,industrial & commercial machinery
0018X000031bpawQAA,Eriks Ireland,industrial & commercial machinery
0018X00003EceQQQAZ,WAM INDUSTRIALE SPA,industrial & commercial machinery
14986012974,AMT Cryogeen,industrial & commercial machinery
0016e00002jgNDAAA2,tsm controls,industrial & commercial machinery
7672818354,Microwaveheating,industrial & commercial machinery
0015A00002Au1P0QAJ,"Hydac Electronic, s.r.o",industrial & commercial machinery
0018X000030yixXQAQ,PGA Anlagenbau Ges.m.b.H,industrial & commercial machinery
001VW00000Avax8YAB,Graham Engineering Ltd,industrial & commercial machinery
0015A00002D6oDdQAJ,MSA (GB),industrial & commercial machinery
0018X00003ATzPnQAL,Advanced Maintenance Supplies,industrial & commercial machinery
8643674916,fbm-maschinenbau.com,industrial & commercial machinery
17867096907,IDEX Corporation NL,industrial & commercial machinery
16609333556,swiss-trafo.ch,industrial & commercial machinery
0018X00003PFnbfQAD,CM Hammar,industrial & commercial machinery
8833234997,e-r-s Group NL,industrial & commercial machinery
6813157543,Fördertechnik Röwe,industrial & commercial machinery
0018X00003IApz6QAD,TÜV SÜD Schweiz AG,industrial & commercial machinery
8503718672,doering-holding.com,industrial & commercial machinery
7404358310,waw-fue.com,lighting
